Entity,Code,Year,Annual COâ‚‚ emissions,time
Australia,AUS,2023,382972000,2023
Brazil,BRA,2023,486470080,2023
Canada,CAN,2023,549299000,2023
China,CHN,2023,11902503000,2023
France,FRA,2023,272475840,2023
Germany,DEU,2023,596151360,2023
India,IND,2023,3062324500,2023
Indonesia,IDN,2023,733223940,2023
Iran,IRN,2023,817879900,2023
Italy,ITA,2023,313460640,2023
Japan,JPN,2023,988784700,2023
Mexico,MEX,2023,482623460,2023
Poland,POL,2023,289281540,2023
Russia,RUS,2023,1815924700,2023
Saudi Arabia,SAU,2023,736205300,2023
South Africa,ZAF,2023,401893100,2023
South Korea,KOR,2023,577416640,2023
Turkey,TUR,2023,432077340,2023
United Kingdom,GBR,2023,305146340,2023
United States,USA,2023,4911391000,2023
Vietnam,VNM,2023,334726080,2023
World,OWID_WRL,2023,37791570000,2023